OrderNumber,OrderDate,ItemID,Seller,ItemName,ItemPrice,Currency,Quantity,OrderTotal,OrderNotes,TrackingNumber,Image,View Order Detail
03-13979-24655,"Dec 13, 2025",389178325468,roborenew,Dell PowerEdge R720 R720XD R730 R740 B6 Server Rails Kit 0TKYT 24V27 61KCY FYK4G,43.95,USD,1,US $43.95,,61299998825450089629,https://i.ebayimg.com/images/g/SpQAAeSwYqhpB-R0/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10077913040903&itemid=389178325468
12-13962-72104,"Dec 12, 2025",136553400152,enterasource,Intel Xeon Gold 6240 2.6GHz 18 Core 24.75MB 150W 2nd Gen Processor SRF8X,28.49,USD,1,US $28.49,,,https://i.ebayimg.com/images/g/JgwAAeSw4etpE3BC/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=136553400152&transaction_id=10077979069912
02-13973-58054,"Dec 11, 2025",358007965609,az_warehouse,Dell PowerEdge R620 Server | 2 x E5-2670 2.6GHz 8GB RAM | No Storage Devices,56.35,USD,1,US $56.35,,,https://i.ebayimg.com/images/g/OtQAAeSwadlpOxHV/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=358007965609&transaction_id=10077274039002
06-13967-90199,"Dec 11, 2025",358008100415,az_warehouse,Dell Inspiron 5675 Ryzen 7 1800X 2.11GHz 16GB Ram 128GB SSD Radeon RX580 Win10P,180.62,USD,1,US $180.62,,,https://i.ebayimg.com/images/g/tCQAAeSwbc5pOyO4/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=358008100415&transaction_id=10077889640106
04-13964-24415,"Dec 10, 2025",297793306980,bucklineoutlet,"Zalman ARGB Controller 4-Port Hub for PC Addressable RGB Fans 5V 3-Pin,  2-pin ",12.1,USD,1,US $12.10,,9400108106244572612864,https://i.ebayimg.com/images/g/nNYAAeSwKJppJkrV/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10077526282904&itemid=297793306980
10-13954-81097,"Dec 10, 2025",358001867440,az_warehouse,Alienware Aurora R7 Intel Core i7-8700 32GB 256GB SSD + 2TB HDD GTX 1080Ti Win11,340.0,USD,1,US $340.00,,,https://i.ebayimg.com/images/g/~rwAAeSwtWZpOMFB/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=358001867440&txnId=10077900596210&txnDate=2025-12-10T18:25:51Z
05-13959-81894,"Dec 09, 2025",116439738355,wazno,Dell Nvidia GeForce RTX 2060 6GB GDDR6 Graphics Card,128.99,USD,1,US $128.99,,,https://i.ebayimg.com/images/g/eNYAAOSwBZtnfUcg/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=116439738355&transaction_id=10077155454905
04-13960-61258,"Dec 09, 2025",358001387415,az_warehouse,LOT of 27 Mixed Brand 4GB DDR4 Desktop RAM Memory Mixed Speeds,180.0,USD,1,US $180.00,,,https://i.ebayimg.com/images/g/Rp0AAeSwyJxpDhhi/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=358001387415&transaction_id=10077505969804
21-13936-47003,"Dec 09, 2025",397315772466,ar252402,BOXX APEXX S3 Computer  i7-9700k CPU 64GB RAM NO 512gb SSD Nvidia QuadroP5000,497.76,USD,1,US $497.76,,396724311680,https://i.ebayimg.com/images/g/KCoAAeSwyqZpJJgY/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10082099302321&itemid=397315772466
24-13947-27001,"Dec 09, 2025",127478997921,spurloc,"Dell Gaming PC i7-8700 64GB RAM, 512GB NVMe, Nvidia GTX 1080 8GB DDR5 Win 11 pro",418.58,USD,1,US $418.58,,,https://i.ebayimg.com/images/g/h-EAAeSwgn5pD1mS/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=127478997921&transaction_id=10076930628324
13-13948-07459,"Dec 09, 2025",205756148189,techstore44,HP Z2 Tower G4 Workstation  Intel i7-8700 | RAM Options | 750GB Combined Storage,272.5,USD,1,US $272.50,,,https://i.ebayimg.com/images/g/BEoAAeSwucpo3CMt/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=205756148189&transaction_id=10079156018413
24-13947-16638,"Dec 09, 2025",358001867440,az_warehouse,Alienware Aurora R7 Intel Core i7-8700 32GB 256GB SSD + 2TB HDD GTX 1080Ti Win11,380.0,USD,1,US $380.00,,,https://i.ebayimg.com/images/g/~rwAAeSwtWZpOMFB/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=358001867440&txnId=10076930027224&txnDate=2025-12-10T02:59:02Z
