Tracking number,Item name,Expected delivery date,Quantity,ASIN
523930626138,Sony WH-1000XM5 Headphones,2026-01-09,2,B0DXBHC9HF
8519912983,Sony WH-1000XM5 Headphones,2026-01-09,3,B0SCVH03YI
003876092106,Vitamix E310 Blender,2026-01-06,3,B0IFFNV0CF
9261420223527254479030,Nintendo Switch OLED Controller,2025-11-29,3,B08XDACGL2
321322368068,DJI Mini 3 Pro Drone,2025-12-06,1,B0QVXYXU5P
5WGIDBIZEZ1ACNZ,DJI Mini 3 Pro Drone,2025-11-27,3,
TBA584168592060,JBL Flip 6 Portable Speaker,2026-01-03,3,B07LO87HML
456952396977,Instant Pot Duo 7-in-1,2025-11-27,3,
5859641256,JBL Flip 6 Portable Speaker,2025-12-07,2,B09VQYJEMH
MMEHJOB2DMOTNL3,Ring Video Doorbell Pro 2,2025-11-30,1,B03P4UW91S
436261708447,Fitbit Charge 5 Fitness Tracker,2025-12-29,3,B07VMHQLLN
TBA127168091402,GoPro HERO11 Black,2026-01-19,3,
1ZGIEPTY7281011507,Fitbit Charge 5 Fitness Tracker,2025-11-24,3,
2436346776,Apple AirPods Pro (2nd Generation),2025-11-30,3,B0YONYTELM
535377483264,Nintendo Switch OLED Controller,2025-12-31,3,B0MDVWC6N8
OL09MS35ST1WB4Z,Samsung Galaxy S23 Ultra Case,2025-11-25,2,
802760854713,GoPro HERO11 Black,2026-01-03,1,B06N4YRLD7
1ZBAQPCK8764052201,Samsung Galaxy S23 Ultra Case,2025-11-23,3,B0IJEJORWC
TBA035954793999,Instant Pot Duo 7-in-1,2026-01-05,2,
LZDJ8MAWEQCLWZU,iRobot Roomba j7+,2025-11-25,1,B0MCDHYFTK
9200189067624507839536,Logitech MX Master 3S Mouse,2025-12-20,3,
1ZJYP5WB3038405368,Instant Pot Duo 7-in-1,2025-12-25,1,B0BDUKWII8
9400897025800651231958,Fire TV Stick 4K Max,2025-12-26,2,B0TQC93KD2
9407233167571665226603,Logitech MX Master 3S Mouse,2026-01-07,1,B07VWHF4IK
9261871023859667702317,Samsung Galaxy S23 Ultra Case,2025-12-20,1,B0896RBW3A
0635439444,Echo Dot (5th Gen) Smart Speaker,2026-01-08,2,B01RY4DVJL
1ZMXGK4P1357483036,Sony WH-1000XM5 Headphones,2025-12-28,2,
2693349895,Instant Pot Duo 7-in-1,2025-12-27,2,B0FJRVTEOW
7495152250,Logitech MX Master 3S Mouse,2025-11-22,2,B0JFXX9EQL
7535011404,Ring Video Doorbell Pro 2,2026-01-04,3,B0MIEY0Q5P
1ZJ51P333482000598,Dyson V15 Detect Vacuum,2025-12-21,2,B01V0Q4K51
TBA403939176226,Instant Pot Duo 7-in-1,2025-12-14,3,
980142028218663,Fire TV Stick 4K Max,2025-12-29,1,B0N0OSAMZY
1Z1PO22L4333666217,Nintendo Switch OLED Controller,2026-01-11,3,B01D4KUC44
422228138622,Fire TV Stick 4K Max,2026-01-05,1,B00BMK8WDH
610017245609534,Logitech MX Master 3S Mouse,2025-12-31,3,
1Z6PD7Y08177838237,GoPro HERO11 Black,2025-12-11,3,B0OVMXTXLA
TBA478692490424,Fire TV Stick 4K Max,2026-01-13,1,B0SVOHWRG1
408284603687,GoPro HERO11 Black,2026-01-02,2,B02BUBPYE5
TBA024860574425,GoPro HERO11 Black,2026-01-17,2,B0H491BP0R
TBA807998843263,Kindle Paperwhite 11th Gen,2025-11-25,2,B0X3DM6PQH
0285295001,Instant Pot Duo 7-in-1,2026-01-14,1,B09NAY2T8M
TBA978626684847,Kindle Paperwhite 11th Gen,2025-12-28,1,B08OIZYXJ4
9200739766430403406744,Anker USB-C Charger 65W,2026-01-09,3,B0CRHDFTXK
TBA009820654110,Kindle Paperwhite 11th Gen,2026-01-17,1,
1ZW0RVZ81728951539,Ninja Air Fryer Max XL,2025-12-12,3,B0B84H1TI0
218447494439420,Logitech MX Master 3S Mouse,2025-12-03,2,
TBA139620963314,DJI Mini 3 Pro Drone,2025-12-05,3,
9261602357660234989670,Fitbit Charge 5 Fitness Tracker,2025-11-27,1,B0V4GAOX4I
634347970567982,Fire TV Stick 4K Max,2026-01-11,3,B090JUV59K
