Product Name,Purchase Date,Image
GoPro HERO11 Black,2025-12-12,
Apple AirPods Pro (2nd Generation),2025-12-07,https://example.com/img/6190.jpg
JBL Flip 6 Portable Speaker,2025-12-30,https://example.com/img/5503.jpg
iRobot Roomba j7+,2025-12-30,https://example.com/img/4638.jpg
Sony WH-1000XM5 Headphones,2025-12-05,https://example.com/img/6257.jpg
Fitbit Charge 5 Fitness Tracker,2025-12-01,
Fitbit Charge 5 Fitness Tracker,2025-11-22,https://example.com/img/7774.jpg
Dyson V15 Detect Vacuum,2025-12-24,
Anker USB-C Charger 65W,2026-01-03,https://example.com/img/9448.jpg
Nintendo Switch OLED Controller,2025-12-19,
JBL Flip 6 Portable Speaker,2025-12-24,https://example.com/img/9298.jpg
Vitamix E310 Blender,2026-01-14,https://example.com/img/9331.jpg
iRobot Roomba j7+,2026-01-06,https://example.com/img/8842.jpg
iRobot Roomba j7+,2026-01-18,https://example.com/img/6528.jpg
Ninja Air Fryer Max XL,2026-01-07,
