Tracking #,Item Title,Promise Date,Product ASIN,Carrier,Units
1Z6YDREX4367395160,Dyson V15 Detect Vacuum,2025-12-04,B0GHR2SWF1,UPS,3
8786087352,DJI Mini 3 Pro Drone,2025-12-25,,DHL,2
TBA357901309058,Sony WH-1000XM5 Headphones,2025-12-25,,Amazon,1
398657387270,Ring Video Doorbell Pro 2,2026-01-01,,FedEx,2
P6EEWYLA0QNB63U,Nintendo Switch OLED Controller,2025-12-16,,OnTrac,2
TBA731906727168,Anker USB-C Charger 65W,2025-12-12,,Amazon,3
TBA524871631505,Anker USB-C Charger 65W,2025-12-10,B0WICO93OJ,Amazon,1
TBA288765081266,Apple AirPods Pro (2nd Generation),2025-12-02,B0MGOVO0JG,Amazon,3
1897724336,Echo Dot (5th Gen) Smart Speaker,2026-01-03,,DHL,3
1ZQKZTJG9815667965,Echo Dot (5th Gen) Smart Speaker,2026-01-10,B05HHWA5R0,UPS,2
8Y8UIFWZ84IYY7M,DJI Mini 3 Pro Drone,2025-12-27,B0A53Y5X3G,OnTrac,2
9407137373175541739065,Logitech MX Master 3S Mouse,2025-11-29,,USPS,1
1ZX84OU49893444958,Logitech MX Master 3S Mouse,2025-11-30,B0ZTY6MJOS,UPS,3
9200748302162329588734,Vitamix E310 Blender,2025-12-05,,USPS,1
TBA008568052396,Anker USB-C Charger 65W,2025-12-27,B0Z7U6LWQY,Amazon,1
2OIK868DI30JL9F,Fire TV Stick 4K Max,2025-11-23,B00OWI7XNK,OnTrac,1
191002252143,Apple AirPods Pro (2nd Generation),2026-01-15,,FedEx,2
TBA424199649145,Anker USB-C Charger 65W,2025-12-31,B05LN0NPF1,Amazon,1
7444914256,Sony WH-1000XM5 Headphones,2025-11-23,B0RLWX3JHW,DHL,1
9400620079801581669412,Fire TV Stick 4K Max,2025-12-30,B0ZK7B0LIA,USPS,1
1ZRYQ58T3583538207,Vitamix E310 Blender,2025-12-06,B0BB8PBGI0,UPS,3
8987396047,DJI Mini 3 Pro Drone,2025-11-29,,DHL,3
8955538570,Bose QuietComfort Earbuds II,2026-01-05,,DHL,3
6964743094,Dyson V15 Detect Vacuum,2026-01-07,B050H2FFT3,DHL,3
494088742188225,Sony WH-1000XM5 Headphones,2025-11-29,B0HGM84VE4,FedEx,1
TBA644065027329,Instant Pot Duo 7-in-1,2025-12-19,,Amazon,2
CZ7QFUCY7F143OA,Sony WH-1000XM5 Headphones,2025-12-11,,OnTrac,3
5141418671,Fitbit Charge 5 Fitness Tracker,2025-12-17,,DHL,3
9400328440197314693374,Bose QuietComfort Earbuds II,2026-01-08,B04MRFG1AR,USPS,2
TBA660096376028,DJI Mini 3 Pro Drone,2026-01-16,B0JTEE43L2,Amazon,3
FK24QZ5XZLFEPKI,Dyson V15 Detect Vacuum,2025-11-27,B0B539MF0C,OnTrac,3
1ZS7LYI61668308712,DJI Mini 3 Pro Drone,2025-12-08,B014WH0QYL,UPS,3
TBA070554079831,Sony WH-1000XM5 Headphones,2025-12-12,,Amazon,1
201538082601180,Samsung Galaxy S23 Ultra Case,2025-12-22,B0QF5WW34Q,FedEx,2
1ZVNL9QJ9791428246,Sony WH-1000XM5 Headphones,2025-12-09,B0CC5S954N,UPS,1
TBA997756661921,Bose QuietComfort Earbuds II,2025-12-15,B0JUZ8JH15,Amazon,2
TBA273228141124,Sony WH-1000XM5 Headphones,2025-12-16,,Amazon,3
677689650716286,Ring Video Doorbell Pro 2,2025-12-31,B0IFPOA20H,FedEx,2
3834706324,Echo Dot (5th Gen) Smart Speaker,2025-11-23,B06THUO7D2,DHL,2
TBA084323540020,Ring Video Doorbell Pro 2,2025-12-05,,Amazon,1
9400525980233116301093,Nintendo Switch OLED Controller,2025-11-26,B0K7U40D1E,USPS,1
445600625189,Logitech MX Master 3S Mouse,2025-12-10,B0698ZGXFH,FedEx,2
HW0RIGH033GPQRX,Nintendo Switch OLED Controller,2025-11-30,B027FBNYDI,OnTrac,2
9400625638694446214480,Anker USB-C Charger 65W,2026-01-13,,USPS,1
902509779786290,Fire TV Stick 4K Max,2025-12-10,B07C3MI6PI,FedEx,2
9400088073681890526272,Nintendo Switch OLED Controller,2026-01-05,,USPS,2
H11C9NLJDV9UZLD,Bose QuietComfort Earbuds II,2025-12-17,B0J706PIPE,OnTrac,1
9200509141519834433564,Fire TV Stick 4K Max,2025-12-30,B08QJNLSXW,USPS,3
TBA895090217910,Fitbit Charge 5 Fitness Tracker,2025-12-10,B08JJG284E,Amazon,1
5697646598,Fire TV Stick 4K Max,2025-11-30,,DHL,1
35ON9HTPAQR57K0,Instant Pot Duo 7-in-1,2026-01-07,B0M8E30MZW,OnTrac,2
TBA090292989555,Dyson V15 Detect Vacuum,2025-12-15,B0VIU8DHOH,Amazon,2
6LOIUOUTBM29ESQ,Sony WH-1000XM5 Headphones,2026-01-13,B063LC9PU6,OnTrac,1
0288124589,Apple AirPods Pro (2nd Generation),2026-01-13,B0R01X4C5O,DHL,2
ZNZCCWME9JHDQ31,Ring Video Doorbell Pro 2,2025-12-19,,OnTrac,2
