Image URL,Qty,Order Date,Description,Tracking Number
https://example.com/img/4187.jpg,2,2026-01-09,Sony WH-1000XM5 Headphones,523930626138
https://example.com/img/8400.jpg,3,2026-01-09,Sony WH-1000XM5 Headphones,8519912983
https://example.com/img/3243.jpg,3,2026-01-06,Vitamix E310 Blender,003876092106
https://example.com/img/3564.jpg,3,2025-11-29,Nintendo Switch OLED Controller,9261420223527254479030
,1,2025-12-06,DJI Mini 3 Pro Drone,321322368068
,3,2025-11-27,DJI Mini 3 Pro Drone,5WGIDBIZEZ1ACNZ
https://example.com/img/9415.jpg,3,2026-01-03,JBL Flip 6 Portable Speaker,TBA584168592060
https://example.com/img/4671.jpg,3,2025-11-27,Instant Pot Duo 7-in-1,456952396977
https://example.com/img/7377.jpg,2,2025-12-07,JBL Flip 6 Portable Speaker,5859641256
https://example.com/img/7656.jpg,1,2025-11-30,Ring Video Doorbell Pro 2,MMEHJOB2DMOTNL3
,3,2025-12-29,Fitbit Charge 5 Fitness Tracker,436261708447
,3,2026-01-19,GoPro HERO11 Black,TBA127168091402
https://example.com/img/1277.jpg,3,2025-11-24,Fitbit Charge 5 Fitness Tracker,1ZGIEPTY7281011507
https://example.com/img/4003.jpg,3,2025-11-30,Apple AirPods Pro (2nd Generation),2436346776
,3,2025-12-31,Nintendo Switch OLED Controller,535377483264
https://example.com/img/9125.jpg,2,2025-11-25,Samsung Galaxy S23 Ultra Case,OL09MS35ST1WB4Z
,1,2026-01-03,GoPro HERO11 Black,802760854713
,3,2025-11-23,Samsung Galaxy S23 Ultra Case,1ZBAQPCK8764052201
,2,2026-01-05,Instant Pot Duo 7-in-1,TBA035954793999
,1,2025-11-25,iRobot Roomba j7+,LZDJ8MAWEQCLWZU
https://example.com/img/3902.jpg,3,2025-12-20,Logitech MX Master 3S Mouse,9200189067624507839536
https://example.com/img/9679.jpg,1,2025-12-25,Instant Pot Duo 7-in-1,1ZJYP5WB3038405368
,2,2025-12-26,Fire TV Stick 4K Max,9400897025800651231958
,1,2026-01-07,Logitech MX Master 3S Mouse,9407233167571665226603
https://example.com/img/7410.jpg,1,2025-12-20,Samsung Galaxy S23 Ultra Case,9261871023859667702317
https://example.com/img/1040.jpg,2,2026-01-08,Echo Dot (5th Gen) Smart Speaker,0635439444
https://example.com/img/2640.jpg,2,2025-12-28,Sony WH-1000XM5 Headphones,1ZMXGK4P1357483036
https://example.com/img/5459.jpg,2,2025-12-27,Instant Pot Duo 7-in-1,2693349895
,2,2025-11-22,Logitech MX Master 3S Mouse,7495152250
https://example.com/img/3316.jpg,3,2026-01-04,Ring Video Doorbell Pro 2,7535011404
https://example.com/img/3042.jpg,2,2025-12-21,Dyson V15 Detect Vacuum,1ZJ51P333482000598
,3,2025-12-14,Instant Pot Duo 7-in-1,TBA403939176226
https://example.com/img/1478.jpg,1,2025-12-29,Fire TV Stick 4K Max,980142028218663
,3,2026-01-11,Nintendo Switch OLED Controller,1Z1PO22L4333666217
,1,2026-01-05,Fire TV Stick 4K Max,422228138622
,3,2025-12-31,Logitech MX Master 3S Mouse,610017245609534
https://example.com/img/4566.jpg,3,2025-12-11,GoPro HERO11 Black,1Z6PD7Y08177838237
https://example.com/img/1267.jpg,1,2026-01-13,Fire TV Stick 4K Max,TBA478692490424
,2,2026-01-02,GoPro HERO11 Black,408284603687
,2,2026-01-17,GoPro HERO11 Black,TBA024860574425
,2,2025-11-25,Kindle Paperwhite 11th Gen,TBA807998843263
,1,2026-01-14,Instant Pot Duo 7-in-1,0285295001
,1,2025-12-28,Kindle Paperwhite 11th Gen,TBA978626684847
https://example.com/img/2917.jpg,3,2026-01-09,Anker USB-C Charger 65W,9200739766430403406744
,1,2026-01-17,Kindle Paperwhite 11th Gen,TBA009820654110
https://example.com/img/3052.jpg,3,2025-12-12,Ninja Air Fryer Max XL,1ZW0RVZ81728951539
https://example.com/img/9848.jpg,2,2025-12-03,Logitech MX Master 3S Mouse,218447494439420
https://example.com/img/7388.jpg,3,2025-12-05,DJI Mini 3 Pro Drone,TBA139620963314
,1,2025-11-27,Fitbit Charge 5 Fitness Tracker,9261602357660234989670
,3,2026-01-11,Fire TV Stick 4K Max,634347970567982
