Tracking number,Item name,Date
,Sony WH-1000XM5 Headphones,2025-11-24
993509202109,DJI Mini 3 Pro Drone,2026-01-04
4DZZQKMIX64H1CH,DJI Mini 3 Pro Drone,2026-01-05
7018659457,Instant Pot Duo 7-in-1,2026-01-02
9400442903724363914030,iRobot Roomba j7+,2025-12-17
,DJI Mini 3 Pro Drone,2025-11-29
8798929198,iRobot Roomba j7+,2025-12-08
703689739793,Kindle Paperwhite 11th Gen,2026-01-21
TBA167777704517,Nintendo Switch OLED Controller,2026-01-03
9261603352926904613769,iRobot Roomba j7+,2025-11-29
,Fire TV Stick 4K Max,2026-01-10
T4RFJV6RY0DVZMT,Kindle Paperwhite 11th Gen,2026-01-10
138827818649398,Fitbit Charge 5 Fitness Tracker,2026-01-15
1324912492,Fire TV Stick 4K Max,2025-12-17
MKOZZXGZDMI6KMV,Ninja Air Fryer Max XL,2025-12-09
,Logitech MX Master 3S Mouse,2026-01-14
464HS82550JIQZC,Echo Dot (5th Gen) Smart Speaker,2025-12-28
1Z9R5SX67994787844,Samsung Galaxy S23 Ultra Case,2025-12-23
1025376350,iRobot Roomba j7+,2025-11-22
1ZQ7TO2N2442052486,Instant Pot Duo 7-in-1,2026-01-04
,Dyson V15 Detect Vacuum,2026-01-02
1ZAITHQV9156590390,Ring Video Doorbell Pro 2,2026-01-05
M7X6PN7S73S3M4U,Ninja Air Fryer Max XL,2025-11-30
5261182556,Kindle Paperwhite 11th Gen,2025-12-05
0060402922,GoPro HERO11 Black,2025-12-21
,Kindle Paperwhite 11th Gen,2025-12-15
157158487902,JBL Flip 6 Portable Speaker,2025-12-11
YOGS4JVZY4B0WZA,GoPro HERO11 Black,2026-01-14
4294563391,Logitech MX Master 3S Mouse,2025-12-15
9261229477511746763894,Vitamix E310 Blender,2026-01-03
