OrderNumber,OrderDate,ItemID,Seller,ItemName,ItemPrice,Currency,Quantity,OrderTotal,OrderNotes,TrackingNumber,Image URL,View Order Detail
09-14068-74095,"Jan 06, 2026",187922462537,surplusspectra,Dell NVIDIA GeForce RTX 2060 6GB GDDR6 PCIe HDMI DVI D-Port Graphics Card 6CTH3,318.75,USD,3,US $318.75,,9434650206217153708348,https://i.ebayimg.com/images/g/nT0AAeSwlutpXXiW/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10077574664409&itemid=187922462537
01-14080-06948,"Jan 06, 2026",177751095590,keeper.of.the.grumper.tucson,Dell PowerEdge R730 Intel Xeon E5-2630 V3 X2 2.4 GHz 32 GB ram No HDD,233.32,USD,1,US $233.32,,,https://i.ebayimg.com/images/g/BSwAAeSwxEBpXYll/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=177751095590&transaction_id=10077674507301
20-14052-77301,"Jan 06, 2026",177751108945,keeper.of.the.grumper.tucson,Dell  NX3230 Server  Xeon E5-2630 v3 2.4 GHz 32 GB ram 300 GB x2 HDD,165.0,USD,1,US $165.00,,,https://i.ebayimg.com/images/g/JYIAAeSwfBlpXYuy/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=177751108945&transaction_id=10077573411220
14-14060-97586,"Jan 06, 2026",205696996970,didionorf,Lot of 2 INTEL Xeon E3-1270V5 SR2LF 3.60 GHz 8 MB 80 W SKU 16030,19.99,USD,1,US $19.99,,,https://i.ebayimg.com/images/g/q-UAAeSwtuVosKvl/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=205696996970&transaction_id=10078556817214
18-14054-58719,"Jan 06, 2026",325622714072,mdgsales,QTY 6 -  DELL WX387 95 2 1/2IN SAS SATA HD-CADDY POWEREDGE T320 T420 T430 0G176J,24.99,USD,1,US $24.99,,1Z3Y88A90394813256,https://i.ebayimg.com/images/g/bbwAAOSwq~BkPwS-/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10081558396618&itemid=325622714072
03-14072-58094,"Jan 05, 2026",325622714072,mdgsales,QTY 6 -  DELL WX387 95 2 1/2IN SAS SATA HD-CADDY POWEREDGE T320 T420 T430 0G176J,24.99,USD,1,US $24.99,,1Z3Y88A90396548030,https://i.ebayimg.com/images/g/bbwAAOSwq~BkPwS-/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10078447135303&itemid=325622714072
21-14046-39618,"Jan 05, 2026",147075377705,3r_technology_solutions,Dell Latitude 5500 Intel Core(TM) i7-8665U CPU 1.90GHz-16GB RAM-512GB NVMe-NO OS,114.99,USD,1,US $114.99,,397472261855,https://i.ebayimg.com/images/g/mgMAAeSws6tpXCUq/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10082726746221&itemid=147075377705
25-14039-91493,"Jan 05, 2026",267392552920,blindcenternv,Cloudwind 00HM651 Professional Laptop Adapters Lot of 8,40.0,USD,1,US $40.00,,1ZA637E40398575699,https://i.ebayimg.com/images/g/d40AAeSwwLNouyyu/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10077379656325&itemid=267392552920
13-14056-34390,"Jan 05, 2026",325622714072,mdgsales,QTY 6 -  DELL WX387 95 2 1/2IN SAS SATA HD-CADDY POWEREDGE T320 T420 T430 0G176J,24.99,USD,1,US $24.99,,9434650206217152405316,https://i.ebayimg.com/images/g/bbwAAOSwq~BkPwS-/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10079828391613&itemid=325622714072
25-14037-13201,"Jan 04, 2026",376787406307,integrityglobal,Lot of 10 Intel Xeon E5-2680V4 2.40 GHz 35 MB SR2N7 LGA 2011-3 Server CPU,90.0,USD,1,US $90.00,,397440081797,https://i.ebayimg.com/images/g/VnkAAeSwZzFpRGq-/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10078506174217&itemid=376787406307
